,Atrial,AVC,EMP,OFT,SV,Ventricle
Fam167b,0.001135258,0,0,0,0,0.000594252
Eif3i,3.197387134,3.128979056,4.253661696,3.237222731,3.923222253,3.468898759
Tmem234,2.260460747,2.268276468,2.392831493,2.492929476,2.559949578,2.315851104
Dcdc2b,0.00542673,0.005314201,0.001223087,0.003395889,0.001049004,0.00226814
Iqcc,0.136967261,0.153654464,0.121749746,0.13588033,0.121165005,0.103439507
Ccdc28b,0.36966666,0.467368256,0.319609225,0.38294402,0.35330719,0.355369025
Txlna,0.348809736,0.403905903,0.582196812,0.479909024,0.524694896,0.503407269
Kpna6,0.120387612,0.136839025,0.144955214,0.110640273,0.118860958,0.178289943
Tmem39b,0.151080138,0.119560116,0.130398869,0.158383289,0.193189919,0.118338303
Khdrbs1,2.633456384,2.641495246,3.339217535,3.001832537,3.503626182,2.360635118
Gm12967,0.004296424,0.008439856,0.011364429,0.008958348,0.009234056,0.010204885
Ptp4a2,2.917054176,3.484837039,2.412464252,3.176391484,2.861689172,3.130626966
Gm10571,0.003764234,0.003507315,0.004208901,0.002918171,0.00305709,0.002603268
Gm12966,0.032919684,0.032940884,0.021711346,0.036355558,0.037069788,0.023606417
E330017L17Rik,0.018734344,0.038620988,0.002954022,0.007130494,0.008399409,0.022552632
Spocd1,0.004136079,0.00882884,0.001214175,0.002123038,0.001214796,0.011882393
1700003M07Rik,0.009796996,0.003218356,0.001852518,0.005580555,0.001083943,0.00184129
Bai2,0.016212293,0.006969022,0.003986964,0.014352154,0.007415494,0.008653247
Gm12963,0.000832185,0,0,0,0,0.000123953
Col16a1,0.000774842,0.000485816,0.00178496,0.007783624,0.003226212,0.002264508
Pef1,0.345940393,0.366167742,0.290450143,0.35265371,0.354107744,0.278570563
Hcrtr1,0.001399652,0.000441184,0,0.000260506,0,0.000230559
Tinagl1,0.376871208,0.319829793,0.08875365,0.257298164,0.099823986,0.266642484
