,Endocardial/Endothelial,Epicardium,Lateral Plate Mesoderm,Multipotent Progenitors,Myocardium,Neural Crest,Paraxial Mesoderm
Egf,0.002195021,0.001254142,0,0.002593666,0.003418864,0.002658215,0.004813122
Rrh,0.001523717,0,0,0.000270476,0.000104411,0.000935066,0.001031633
Gar1,2.09559507,1.845233776,1.800919368,2.344619095,1.065275977,3.3939883,2.652431951
Cfi,0.002299225,0.00042287,0,0.000640172,8.65E-05,0.000670125,0
Pla2g12a,0.38738282,1.072592738,0.139265757,0.382017487,0.81113534,0.352947225,0.343839921
Casp6,0.737624155,1.472734704,0.450737278,0.582097698,0.620852849,0.598957642,0.351738064
Ccdc109b,0.02354742,0.122230752,0.020996494,0.052705787,0.088981891,0.008921278,0.019930667
Sec24b,0.215605007,0.207312687,0.242629806,0.164482052,0.147206288,0.17953674,0.175761633
Gm9396,0.116474431,0.096310588,0.065764383,0.124311234,0.075475231,0.178119172,0.120289001
Col25a1,0.027113359,0.033169826,0,0.094487999,0.005127564,0.029373196,0.033852737
Ostc,5.102501235,4.605537936,6.764155971,4.231417111,4.084349831,4.129831423,4.538926075
Rpl34,10.68941523,10.69074604,9.589618449,10.772802,8.496427452,11.24514148,11.52650947
Metazoa_SRP.45,0,0.000383982,0,0.000472606,0.000763844,0.000374581,0.000410896
Lef1,0.227811051,0.441954155,0.452319825,0.564063198,0.331443775,0.363246684,0.422765936
Hadh,1.278954334,1.951296859,2.265538126,1.530062103,2.059335747,1.003712001,1.330757036
Cyp2u1,0.000430159,0,0.000691119,0.001941526,0.006370604,0.000465058,0.001443362
AC165416.1,0,0,0,0.001207517,0.000647966,0.000175086,9.73E-05
Sgms2,0.00264765,0.005553238,0.006019189,0.006336996,0.004224198,0.000194011,0.003638969
Metazoa_SRP.46,0.000164867,0,0,0,0.000188375,0.00013885,0.000263773
Papss1,0.320140502,0.430737441,0.479227511,0.354869502,0.25003529,0.40613219,0.319099727
Dkk2,0.009257262,0.381070291,0.106618833,0.010782831,0.004336618,0.00806293,0.001785399
Gm5549,0,0,0,0.000282146,0,0,0
Aimp1,1.543157065,1.624351659,2.02030595,1.703882016,1.537063289,1.869472674,1.799843031
Tbck,0.029461935,0.035098237,0.035252978,0.030821238,0.031688861,0.023413335,0.031051311
Npnt,0.044335628,0.240594736,0.171921514,0.192447274,0.109559805,0.015134838,0.012976308
Gstcd,0.113891573,0.175967939,0.19331875,0.156530511,0.116651293,0.143112425,0.165882229
Ints12,0.201850391,0.213543767,0.2274221,0.232345779,0.153431513,0.269454389,0.229460937
Arhgef38,0,0.000737272,0,9.90E-05,0,0,0
Ppa2,0.583355337,0.764477659,0.781198898,0.881982673,0.795943293,0.94556432,0.899368739
Tet2,0.039229771,0.027663529,0.012084527,0.032430318,0.031611026,0.025519247,0.017711356
AC123608.1,0.001520491,0.002162223,0.015009959,0.007154281,0.00313207,0.001434552,0.006411856
Cxxc4,0.106155895,0.071337724,0.178286068,0.191758974,0.087870452,0.047636112,0.153472671
Tacr3,0.00016894,0,0.0017602,0.000184766,0.000150806,0,0
Cenpe,1.472518163,1.411093878,1.38510426,1.443217039,0.922892506,1.534752753,1.342569592
Bdh2,0.01130602,0.050207084,0.049861518,0.061804573,0.01943822,0.018346091,0.039673462
Nhedc2,0.005575177,0.022035956,0.013251274,0.027531525,0.010931967,0.026483914,0.034665724
Nhedc1,0.006047665,0.002206182,0.003441813,0.002950478,0.001468805,0.004758586,0.00483413
Cisd2,1.408523674,1.575763701,1.87783357,1.812683243,1.959645434,1.642317525,2.061719049
AC156618.1,0.001009871,0.003875036,0.001059458,0.001695366,0.002377418,0.001560883,0.003226032
Ube2d3,7.050928078,6.722264335,8.29751661,6.714552461,6.059664932,6.811305523,7.159433219
Manba,0.014524495,0.01109852,0.00337328,0.00537968,0.0264221,0.001705165,0.002379939
Oaz2-ps,0.005579237,0.001280496,0.000796773,0.002158885,0.001818014,0.001069017,0.000253379
Nfkb1,0.219427446,0.134888427,0.168004051,0.133060793,0.1485099,0.0865888,0.140902603
Gm9799,0.0002234,0,0,0,7.22E-05,0,0
Slc39a8,0.46104683,0.168679698,0.218772565,0.1640915,0.28399999,0.048958313,0.249069686
Bank1,0.000855017,0,0,0.000120948,0,0,0
Ppp3ca,1.240356507,0.545736133,0.231805477,0.547211353,0.609515507,0.514429564,0.659706572
Emcn,2.748202107,0.009201328,0.000848181,0.008679703,0.007177704,0.022435341,0.005643793
Ddit4l,0.030684826,0.020213334,0.008359976,0.035368388,0.017778507,0.020907279,0.032431013
Gm17316,0.000179149,0,0.000677108,0,0.000236,0,0
U6.554,0.000601126,0,0,0.000294759,0,0.000167349,0
H2afz,4.129033402,4.525333422,3.5329928,5.277274836,3.372615724,5.416259816,4.573223147
Dnajb14,0.201279935,0.272509052,0.264580582,0.171193073,0.248093202,0.149250326,0.165422203
Gm15460,0.008404357,0.009894022,0.004720077,0.008829965,0.007800021,0.008545206,0.005835157
Lamtor3,0.766973495,0.747235044,0.848182704,0.738244535,0.92103135,0.779565373,0.805010317
Dapp1,0.020142456,0.007777044,0,0.006322155,0.011818725,0.003365452,0.007564552
Gm5105,0,0,0,6.78E-05,0.005372692,0.000165767,0
1110002E22Rik,0.000265937,0.001265708,0,0.000711172,0.020447106,0.000148158,0.000302668
Mttp,0.011464324,0.006267973,0.009600435,0.015171743,0.073987552,0.015491051,0.015664568
Trmt10a,0.367222877,0.290082019,0.294792399,0.313298083,0.220204417,0.388170162,0.328460363
4930579F01Rik,0.000582418,0,0,0.000241099,0,0,0
Adh7,0.001468454,0,0,0.000942542,0,0.000143931,0.000311832
Adh1,0.001965325,0.000954646,0,0.017056205,0.000688101,0.000747795,0.001426689
Gm16559,0,0,0,0.000904534,0.000106319,0,0
Adh6a,0.000506658,0,0,0.001836746,0.000120925,0,0.000143331
Adh6b,0.101341682,0.001149365,0,0.000827925,0.000451088,0.000717764,0.00030712
Adh6-ps1,0.000361021,0,0,0,0,0,0
Adh4,0,0,0,0.000181473,3.86E-05,0,0.000872387
Adh5,2.300853034,2.449287241,2.397159366,3.090037028,2.072170623,3.134602301,3.192166561
Metap1,0.556637379,0.482540329,0.559491828,0.479026918,0.537457843,0.499334984,0.497868075
Eif4e,3.710731968,3.990072572,4.017928774,4.507436963,3.832983758,4.979026382,4.738714639
Tspan5,0.341510462,0.221519741,0.0631508,0.278566904,0.119615408,0.247351511,0.364954641
Gm16060,0.006787045,0.004045647,0.003673908,0.007931612,0.004666021,0.006169417,0.009254477
Rap1gds1,0.188170544,0.143470655,0.231525013,0.133165759,0.137544711,0.159744691,0.178836559
Stpg2,0.000156568,0,0,0.000298223,0.0002115,8.70E-05,0
Pdha2,0.000466102,0,0,0,0,0.000362085,0
Gm15688,0.002707677,0.005219387,0.006501151,0.006576467,0.00243637,0.004054338,0
Unc5c,0.04078277,0.248572046,0.301048205,0.17103421,0.085110576,0.214713313,0.005121965
Bmpr1b,0.004397518,0.020126653,0.001851378,0.020157947,0.006090773,0.041933697,0.009937136
Pdlim5,0.278529229,0.182511838,0.169426586,0.197875584,2.638868655,0.112850969,0.073103485
Gbp7,0.00553752,0.000354717,0,0.002930522,0.000204858,0.002879454,0.001284798
Gbp3,0.003929147,0.00193406,0,0.000559436,2.91E-05,0.002304834,0.000332714
Gbp2,0.006010662,0.000314338,0,0.000188459,0.000124024,0,0
Ccbl2,0.027557105,0.101431873,0.037462302,0.048436994,0.025221279,0.082451971,0.037611149
Gtf2b,0.854772192,0.743613527,0.710240962,0.76265458,0.741084944,0.799602818,0.702586261
Pkn2,1.314017037,1.457158957,1.478285537,1.334707445,1.05338203,1.277746223,1.424280013
AC137970.1,0.003732708,0.00570535,0.006268137,0.004359463,0.005752372,0.002515846,0.005888424
Gm2574,0.009692638,0.008131787,0.007845844,0.008095304,0.013695191,0.012582267,0.007375896
Lmo4,0.66922417,1.161361093,0.732572235,0.883713115,0.437942254,2.21092303,2.173195637
Hs2st1,0.23293107,0.270748659,0.20413825,0.334569566,0.190524981,0.295662306,0.360375876
15-Sep,4.894717482,4.570287767,5.54109801,4.143684243,3.463719644,4.126060715,4.301781573
Sh3glb1,2.653403797,1.763275055,2.067047706,1.272675332,1.718465427,1.24258319,1.083570768
Clca1,0.001075514,0,0,0.000100113,0,0,0.000186716
Clca2,0,0,0,0.000208962,0,0.000261255,0.000282724
AI747448,0,0,0,2.87E-05,0,0,0
Gm16233,0.001869212,0.000489913,0,0.001179583,0.001064997,0.001277223,0.002558744
Clca6,0,0.000703087,0.000412359,0.000188403,2.82E-05,0,0
Clca3,0.000185697,0,0,8.23E-05,0.000408816,0,0
Clca5,0.012727296,0,0.00192738,0.000200313,0.002824489,0.000174557,0
Odf2l,0.121565296,0.125006079,0.13979718,0.133821078,0.138557399,0.13658625,0.092501659
Col24a1,0.000652077,0.006054696,0.000697184,0.002767266,0.000567875,0.004993542,0.003896369
Znhit6,0.697425758,0.694671809,0.588846888,0.762034635,0.485736792,1.119458554,0.919689006
Cyr61,0.456593903,1.244515006,0.648469867,0.436541992,0.941986469,0.371583213,0.172561934
AC136729.1,0.028015086,0.011145189,0.005349584,0.013093185,0.022324947,0.011415391,0.007457865
Ddah1,0.663504678,0.370567736,0.196908786,0.292648215,1.32005327,0.077348289,0.077010931
Bcl10,0.712197576,0.539256857,0.59913039,0.480705227,0.553711617,0.454991355,0.548994997
2410004B18Rik,0.854336733,0.797904613,0.870469563,0.789121129,0.771670513,0.900721455,0.799467477
Syde2,0.021275888,0.033635379,0.029695824,0.030389086,0.046616702,0.017095912,0.027777435
Wdr63,0.005145825,0.001327009,0.000897157,0.000695244,0.004351504,0.000192501,0.000546758
Mcoln3,0.022841591,0.02910676,0.025064249,0.044161999,0.006714047,0.072836306,0.030774671
Mcoln2,0.000799722,0.000356032,0.005015415,0.000519553,0.002569799,0.000716061,0.000945532
Lpar3,0.024571938,0.30011129,0.222121296,0.127743621,0.330097521,0.010691401,0.172723788
Ssx2ip,0.266621887,0.201637139,0.170951411,0.230483504,0.346168076,0.168236691,0.222624433
Ctbs,0.085487427,0.06596942,0.096840486,0.037503328,0.056836611,0.033293927,0.041021485
Spata1,0.034894404,0.031075116,0.030778487,0.03139732,0.039180277,0.027116922,0.03068134
Gng5,7.450253067,8.175217675,7.160981189,6.990219855,7.502018323,5.981590143,6.984672811
Rpf1,0.910990952,1.017851139,0.950371634,1.049409275,0.924797384,1.286883445,1.017376219
Dnase2b,0,0,0,0,0.000222691,0,0
4930503B20Rik,0,0,0,3.61E-05,0,0.000197737,0
Samd13,0.001268683,0.00396844,0.002952491,0.001434871,0.004682311,0.001839637,0.001973359
Prkacb,0.170438746,0.231354574,0.188219723,0.207096389,0.247377609,0.182109096,0.180320128
Gm10288,1.624314427,1.549253172,1.081687789,1.777517247,1.24245965,2.245000736,1.412970205
Ttll7,0.061544924,0.032967743,0.030678836,0.021662271,0.038531771,0.007950099,0.031186603
Lphn2,0.222506896,0.296078569,0.393694172,0.418559047,0.229977367,0.308635893,0.350570498
Gm9912,0,0,0,8.48E-05,0.000107275,0,0
Gm10287,0,0,0,0.000168786,5.75E-05,0,0
Rpsa-ps10,0.950567778,0.797796366,0.633650122,1.011977576,0.641640455,1.345868674,0.848761439
Eltd1,0.199063511,0.001784224,0.000396847,0.00156233,0.002368936,0.000426345,0.000237213
